Depth,Name,ID,MagicID,IsLoop,IsReplacedBuff,Delay,Bone,Part,TailSilence,ActionList,Color,Alpha,Scale,NeedStunAction,NeedShadow,ChangeSharp,SoundId,IsLoop,IsClose,onlyHero,MagicEnabled,ActionCtrl,ShowNameHp,UIModel,UIModelScale,IsDeleteOnMount,Equipment,ChgAction,删除
#脚本层次,名称,编号,光效动画,是否循环,是否可替换的buff,触发帧,光效挂接点,光效挂接部位,是否停于最后一帧,动作列表,颜色,半透明,缩放比例,是否显示眩晕动作,拖影效果,变身效果,buff音效,音效是否循环,结束强制关闭音效,只有主角才播放,是否强制光效显示,动作控制,显示及隐藏名称、血条,在角色头顶显示UI模型,光效模型缩放,上坐骑是否要删除光效,换装效果,替换动作,删除
int,string,int,int,int,int,int,string,int,int,string,string,string,float,int,int,string,int,int,int,int,int,string,int,int,float,int,string,int,string
0,1065;1066;1067;1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,删除
0,1176;1177;1178;1179,,,,,,,,,,,,,,,,,,,,,,,,,,,,删除
0,1278;1279;1280;1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,删除
0,1388;1389;1390;1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,删除
0,1388;1389;1390;1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,删除
1,通用动画,1,,,,,,,,,,,,,,,,,,,,,,,,,,,删除
2,出生,1001,8001,0,,,,,,,,,1,,,,,1,,,,,,,1,,,,删除
2,友方被选中,1002,8003,1,,,,,,,,,1,,,,,1,,,,,,,1,,,,删除
2,鼠标点击地面动画,1003,8004,0,,,,,,,,,1,,,,,1,,,,,,,1,,,,删除
2,回城卷轴读条等光效,1004,8002,0,,,,,,,,,1,,,,,1,,,,,,,1,,,,删除
2,宝箱光效,1005,8007,1,,,,,,,,,1,,,,,1,,,,,,,1,,,,删除
2,传送圈光效,1006,8012,1,,,,,,,0;0;0;0,,1,,,,,1,,,,,,,1,,,,删除
2,宝箱光效1,1007,8016,1,,,,,,,,,1,,,,,1,,,,,,,1,,,,删除
2,宝箱光效2,1008,8017,1,,,,,,,,,1,,,,,1,,,,,,,1,,,,删除
2,降落光效,1009,8018,0,,,,,,,,,1,,,,,1,,,,,,,1,,,,删除
2,角色选择,1010,8019,1,,,,,,,,,1,,,,,1,,,,,,,1,,,,删除
2,学习技能,1011,8020,0,,,,,,,,,1,,,,,1,,,,,,,1,,,,删除
2,NPC脚底光效2,1012,8022,1,,,,,,,,,1,,,,,1,,,,,,,1,,,,删除
